id,leadId,activityDate,activityTypeId,campaignId,primaryAttributeValueId,primaryAttributeValue,Choice Number,Device,Is Mobile Device,Platform,Step ID,Subcategory
46146218,1556897,2017-01-23T02:46:11Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146219,37268,2017-01-23T02:46:11Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146220,30006,2017-01-23T02:46:12Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146221,18271,2017-01-23T02:46:12Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146222,31797,2017-01-23T02:46:23Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146223,40691,2017-01-23T02:46:25Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146224,21526,2017-01-23T02:46:26Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,iOS,28077
46146225,16969,2017-01-23T02:46:27Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146226,1671902,2017-01-23T02:46:27Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146227,1003015,2017-01-23T02:46:27Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146228,37199,2017-01-23T02:46:27Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146229,38650,2017-01-23T02:46:29Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146230,810,2017-01-23T02:46:39Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146231,23602,2017-01-23T02:46:43Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146232,1618236,2017-01-23T02:46:43Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46146233,51644,2017-01-23T02:46:46Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46146234,19213,2017-01-23T02:46:51Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146346,10010,2017-01-23T02:46:04Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146347,8776,2017-01-23T02:46:04Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146348,10911,2017-01-23T02:46:05Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146349,56567,2017-01-23T02:46:05Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146350,51211,2017-01-23T02:46:06Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146351,27053,2017-01-23T02:46:06Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146352,15156,2017-01-23T02:46:07Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146353,17677,2017-01-23T02:46:11Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146354,52229,2017-01-23T02:46:13Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146355,1712239,2017-01-23T02:46:13Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146356,51555,2017-01-23T02:46:13Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46146357,2025096,2017-01-23T02:46:21Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win8,28077
46146358,16817,2017-01-23T02:46:29Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46146359,21729,2017-01-23T02:46:40Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46149777,1129,2017-01-23T02:46:08Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149778,1010672,2017-01-23T02:46:08Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149779,25569,2017-01-23T02:46:09Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149780,33628,2017-01-23T02:46:10Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149782,14612,2017-01-23T02:46:51Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149784,20899,2017-01-23T02:47:10Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149785,9562,2017-01-23T02:47:17Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149786,10540,2017-01-23T02:47:43Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149922,18104,2017-01-23T02:46:56Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149923,15969,2017-01-23T02:46:59Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149924,1010346,2017-01-23T02:47:02Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,iOS,28077
46149925,1755114,2017-01-23T02:47:07Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149926,1889984,2017-01-23T02:47:07Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46149927,7332,2017-01-23T02:47:17Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149929,34426,2017-01-23T02:48:11Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46149930,15116,2017-01-23T02:48:20Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46149931,37901,2017-01-23T02:48:35Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149932,7291,2017-01-23T02:47:00Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win8,28077
46149933,34304,2017-01-23T02:47:38Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46149934,1044442,2017-01-23T02:48:03Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150049,1008399,2017-01-23T02:47:30Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150050,11751,2017-01-23T02:47:38Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150051,52217,2017-01-23T02:47:50Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150053,19795,2017-01-23T02:48:07Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150054,48542,2017-01-23T02:48:51Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150242,1007270,2017-01-23T02:49:50Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46150243,12773,2017-01-23T02:50:15Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150306,53663,2017-01-23T02:49:15Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150307,51672,2017-01-23T02:49:52Z,10,9161,12547,IoT・ビッグデータ活用_WAAP★.2-1.認知興味関心,26147,0,FALSE,,unknown,32420
46150308,1618246,2017-01-23T02:50:18Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46150309,18979,2017-01-23T02:50:37Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150310,16405,2017-01-23T02:49:21Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46150311,8015,2017-01-23T02:50:05Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150312,1010815,2017-01-23T02:50:17Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150313,1744491,2017-01-23T02:50:20Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150314,51641,2017-01-23T02:50:45Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150415,17723,2017-01-23T02:49:13Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150416,22174,2017-01-23T02:49:22Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150417,1014077,2017-01-23T02:49:27Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150418,6602,2017-01-23T02:49:52Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150419,15215,2017-01-23T02:50:25Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,iOS,28077
46150420,1671645,2017-01-23T02:51:14Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,iOS,28077
46150422,51421,2017-01-23T02:51:17Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150671,1794727,2017-01-23T02:50:29Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150672,54886,2017-01-23T02:50:34Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150673,18733,2017-01-23T02:51:17Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,Win7,28077
46150674,17920,2017-01-23T02:51:36Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,Android,28077
46150675,1671806,2017-01-23T02:51:45Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150676,45225,2017-01-23T02:51:46Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,,unknown,28077
46150677,17921,2017-01-23T02:52:13Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,iOS,28077
46150783,29006,2017-01-23T02:51:08Z,10,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0,FALSE,1,Android,28077
