id,leadId,activityDate,activityTypeId,primaryAttributeValueId,primaryAttributeValue,ClientIPAddress,QueryParameters,ReferrerURL,UserAgent,WebpageURL,campaignId,campaignId_UserAgent,campaignId_WebpageURL
46543224,38013,2017-01-26T00:25:50Z,1,29207,www.unirita.co.jp/about-users.html,210.166.181.174,mkt_tok=eyJpIjoiTW1aaU1qVTVZalJpT1dSaCIsInQiOiJHcHRFQ0NGdmtrb0ZjQmVZcVJGMjB5THBDd3F0MXhrV05iVFRKXC9jc0ZvcFc0TzI5MmlEcHY3cU04TVdQWDVFZ0pZZndpQktTa0VZZGMwVzc3VGxsWUdTT1loTzRJRExpQnpNZXBtNXBPUkdLWkFRa0crYXFpRU9cL09ObzA3RjJhIn0=,http://go.unirita.co.jp/L903QN00a0qF0McT70L030y,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",/about-users.html,9663,,
46543227,1637054,2017-01-26T00:25:51Z,1,20671,www.unirita.co.jp/itsyourturn/download/,210.130.195.18,,http://www.unirita.co.jp/itsyourturn/download/cmp_wpunyoless.html?mkt_tok=eyJpIjoiT1RaaE1qQXdNMk00Tm1ZMCIsInQiOiJOTHk1UVBNMUJnVXZyVEtscHIzdFMra1krODh3aWdjV0p3XC9YYmFtdnJGN3duQVYzZ3RSdkp2MmR2YjRsSVNuYW1yWXlRRHRmWVlQYVIwWE1iUE9lOWJrekw1cWZObVVTTTZmdXRwTGtPN3pzbDFNVENVQlpOMVlkK1RiUnVmVFUifQ==,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",/itsyourturn/download/,9663,,
46543309,1671629,2017-01-26T00:25:53Z,1,28859,www.unirita.co.jp/blog/bpm/bpm-relay/20170120.html,210.164.12.195,,http://www.unirita.co.jp/blog/bpm/bpm-relay/20170114.html,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",/blog/bpm/bpm-relay/20170120.html,,,
46543310,39928,2017-01-26T00:25:53Z,1,28450,www.sysadmingroup.jp/sysadmingroup.html,203.179.24.126,mkt_tok=eyJpIjoiWXpOak4yTTRPR1U0WWpNeiIsInQiOiIxNTRBQU56b2xvTUtkY2JNelNXSnRGa2xUVCs1TE1KemxyTWM1Y1lJdFk2OHBUTzBTRlRyKzZZVmtRRGlLUlIyZ2JPVFduQ2lRZ3lmSEZRbUZNaTl6RDlhWFJneFZuNXVwMmxlTTNUQm9VVmlWRGJzZGFuTVRuRDRmcXV4UFYzeCJ9,http://go.unirita.co.jp/kM0DL0y00F003N3aoa0s00Q,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",/sysadmingroup.html,9663,,
46543398,7357,2017-01-26T00:26:14Z,1,28496,www.sysadmingroup.jp/seminar/nintei/introduction.html,221.116.1.10,mkt_tok=eyJpIjoiTVRKalptUTJaakkyWTJaaCIsInQiOiJBSVN6empla2s2QWh4eVFlcm90NDNDWllBczNZeUR0ZERWZ29ESktxN0xrVzREVmdrK0lXcDBcL3VudVpyYkJnVXZUQ0pGNjZBRzJCSndNRldrc2FMdkhcL21PZW55SUVuZXhWVXpOWGVGZXhQWEZCWEJETzBpMTBuK3dlV0ZQSkkrIn0=,http://go.unirita.co.jp/My0Q010UMF0a300GL0FN0t3,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",/seminar/nintei/introduction.html,9663,,
46543425,1013819,2017-01-26T00:26:17Z,1,1,UnsubscribePage,126.250.136.60,mkt_tok=eyJpIjoiTW1RelpUWmtaVGM0TjJNNCIsInQiOiJDbmxwOUFpUExlM0U4NDR0dHY2REI4Q0cyc2kxYWRWdXJQZVp0RmRBMjY2aHk5dUE0NWRiTUZnNEZoMGJDbFJnWnVcL0grSHJEYUcxcWgxZVdmNTlqYVwvRXJGTXBLRlwvNkp5emg2cVJ4bW5XOXNcL3pIVzhLQWU5ajdaZW55WnA3OHIifQ%3D%3D,http://go.unirita.co.jp/v04J0yFH03LQMVhaN03f000,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",/UnsubscribePage.html,9663,,
46543493,1019396,2017-01-26T00:26:28Z,1,123,www.unirita.co.jp/case/,210.143.35.11,,http://www.unirita.co.jp/?mkt_tok=eyJpIjoiT0dSa01EQTNZVEZrT1dWayIsInQiOiJ6WWJTUEY0SHRWR3dcL2pHWWRuQWZIcjU1d1BuZTJnQ0pVcE1YQmhjUHZoSUJROEtJekhrYnlKVXFlMmwzMlhHME51c0h2MHZ3NitBZDFUSnoyQVVZa3gxOWxiWFdNUEl1bWpPUStCQ3RMUldEcjJDc25vUlJUQ01xT2JLUFBoTkwifQ==,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",/case/,9663,,
46543613,1637054,2017-01-26T00:26:35Z,1,20680,www.unirita.co.jp/itsyourturn/download/form_wpos.html,210.130.195.18,,http://www.unirita.co.jp/itsyourturn/download/,"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",/itsyourturn/download/form_wpos.html,,,
46543689,18778,2017-01-26T00:26:49Z,1,1,UnsubscribePage,132.222.121.99,mkt_tok=eyJpIjoiTWpsbE4yVTNPRFUzT1dZMCIsInQiOiJnOFc3RUdGaHYxSFZOaEcxZStCUTFaNitZdGx6cWlqaktKa2RGbWIwM2dsRjBOMkZoS2hJeFczMVljUFZQektGS1BNVitTWDhSNkd5eVwvaHZOSmdGRDNwQnFcL25NTFU1WVp1SjdYUTM3M0h4d0FqeFNudXdndEdWRDVEZkRwWHhRIn0%3D,http://go.unirita.co.jp/Ba008M3Qy00000FN0SHLS43,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",/UnsubscribePage.html,9663,,
46543761,18778,2017-01-26T00:27:00Z,1,2,UnsubscribeConfirm,132.222.121.99,aliId=2069091,,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",/UnsubscribeConfirm.html,,,
