id,leadId,activityDate,activityTypeId,campaignId,primaryAttributeValueId,primaryAttributeValue,Choice Number,Step ID
46122919,13108,2017-01-23T02:40:23Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46122920,15839,2017-01-23T02:40:23Z,7,8116,11104,レポート作成工数削減_WAMQ★.2-1.認知/興味関心,26152,0
46139556,41359,2017-01-23T02:45:13Z,7,8128,11107,レポート作成工数削減_WAMQ★.1-1.無関心,26170,0
46139557,1492885,2017-01-23T02:45:22Z,7,8575,11751,ITサービスの品質向上_IT.1-3.無関心,26159,0
46145854,20112,2017-01-23T02:45:17Z,7,8665,11795,クラウド化再構築_エンゲージメント★.1-2.無関心,26163,0
46145856,43197,2017-01-23T02:45:52Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145857,1671594,2017-01-23T02:45:53Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145956,1671596,2017-01-23T02:45:53Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145957,1637000,2017-01-23T02:45:53Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145958,51303,2017-01-23T02:45:54Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145959,50601,2017-01-23T02:45:54Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145960,51343,2017-01-23T02:45:54Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145961,51107,2017-01-23T02:45:54Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145962,51261,2017-01-23T02:45:54Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145963,1950983,2017-01-23T02:45:54Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145964,51240,2017-01-23T02:45:55Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145965,51311,2017-01-23T02:45:55Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145966,1895284,2017-01-23T02:45:55Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145967,51206,2017-01-23T02:45:55Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145968,47108,2017-01-23T02:45:55Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145969,51237,2017-01-23T02:45:55Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145970,51121,2017-01-23T02:45:55Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145971,51285,2017-01-23T02:45:55Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
46145972,1839555,2017-01-23T02:45:56Z,7,8321,11380,レポート作成工数削減_WAMQ★.1-3.無関心,26169,0
